Treatments,Inhibition_mg_protein,Block
CT,1460,1
CT,1530,2
CT,1930,3
CT,1730,4
CT,1740,5
CT,1690,6
CT,2630,7
CT,1670,8
CT,1240,9
CT,1680,10
MU,3980,1
MU,3130,2
MU,2800,3
MU,3270,4
MU,2920,5
MU,5080,6
MU,3210,7
MU,3120,8
MU,3250,9
MU,4790,10
PT,3770,1
PT,2700,2
PT,2400,3
PT,2550,4
PT,2390,5
PT,3050,6
PT,2490,7
PT,2220,8
PT,2650,9
PT,2390,10
WT,2890,1
WT,2860,2
WT,2590,3
WT,3270,4
WT,3300,5
WT,3140,6
WT,3980,7
WT,3250,8
WT,2910,9
WT,3710,10
